Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta_Leads,Cp lead Forms
LU,Always On,Search Engine,SEA Adwords,Conversion,R 12 (KR3),1.143544,74.0,15.453297297297297,8.0,0.10810810810810811,0.142943,5.0,0.2287088,0.625,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,S 1000 R (K63),0.92,33.0,27.87878787878788,8.0,0.24242424242424243,0.115,6.0,0.15333333333333335,0.75,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,C 400 GT (K08),1.135068,49.0,23.164653061224488,8.0,0.16326530612244897,0.1418835,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,CE 02 (K06),0.942864,42.0,22.449142857142856,6.0,0.14285714285714285,0.157144,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,G 310 GS (K02),1.08,24.0,45.0,6.0,0.25,0.18000000000000002,3.0,0.36000000000000004,0.5,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,F 800 GS (K80),0.8369,43.0,19.46279069767442,6.0,0.13953488372093023,0.13948333333333332,3.0,0.27896666666666664,0.5,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,R 18 (K34),0.69,37.0,18.64864864864865,5.0,0.13513513513513514,0.13799999999999998,2.0,0.345,0.4,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,G 310 R (K03),0.55,21.0,26.19047619047619,4.0,0.19047619047619047,0.1375,3.0,0.18333333333333335,0.75,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,M 1000 RR (K66),0.435719,46.0,9.472152173913043,4.0,0.08695652173913043,0.10892975,2.0,0.2178595,0.5,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,M 1000 R (KM3),0.32,26.0,12.307692307692308,3.0,0.11538461538461539,0.10666666666666667,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS Adventure (K82),0.42,21.0,19.999999999999996,3.0,0.14285714285714285,0.13999999999999999,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,C 400 X (K09),0.42,13.0,32.30769230769231,3.0,0.23076923076923078,0.13999999999999999,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GT(K48),0.27847299999999997,29.0,9.602517241379308,2.0,0.06896551724137931,0.13923649999999999,2.0,0.13923649999999999,1.0,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS Adventure (KA2),0.28,19.0,14.73684210526316,1.0,0.05263157894736842,0.28,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,R nineT (KR1),0.15,7.0,21.428571428571427,1.0,0.14285714285714285,0.15,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Social Networks,META (FB&Insta),Consideration,NOT MAPPED,41.51,45156.0,0.9192576844716095,196.0,0.004340508459562406,0.21178571428571427,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Tactical,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,118.86000000000001,61801.0,1.9232698500024272,476.0,0.00770214074205919,0.2497058823529412,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Tactical,Social Networks,META (FB&Insta),Conversion,R 1300 GS (KA1),63.83,53422.0,1.19482610160608,306.0,0.005727977237842088,0.20859477124183007,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Tactical,Social Networks,META (FB&Insta),Conversion,Multi,24.91,45692.0,0.5451720213604132,139.0,0.003042108027663486,0.1792086330935252,,NaN,0.0,,NaN,NaN,,NaN,,NaN
