Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Tactical,Social Networks,META (FB&Insta),Conversion,CE 02 (K06),2391.6299999999997,942690.0,2.5370270184259933,12350.0,0.013100807264318068,0.19365425101214573,,NaN,0.0,,NaN,NaN,,406.0,5.890714285714285
PL,Tactical,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,3079.9600000000005,1264930.0,2.4348857249017737,11632.0,0.00919576577360012,0.264783356258597,,NaN,0.0,,NaN,NaN,,360.0,8.555444444444445
PL,Tactical,Social Networks,META (FB&Insta),Conversion,CE 04 (K07),266.74,75296.0,3.54255206119847,928.0,0.012324691882702932,0.2874353448275862,,NaN,0.0,,NaN,NaN,,34.0,7.845294117647059
Not Valid,NOT MAPPED,Social Networks,NOT MAPPED,NOT MAPPED,NOT MAPPED,11130.57,4158463.0,2.6766067174338213,45471.0,0.010934568853925117,0.2447839282179851,,NaN,0.0,,NaN,NaN,,383.0,0.0
Not Valid,Always On,Search Engine,NOT MAPPED,NOT MAPPED,NOT MAPPED,2423.636672,111426.0,21.751087466121014,20160.0,0.18092725216735772,0.12022007301587302,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Display,DV360,Consideration,Multi,736.4233959999998,2466772.0,0.2985372770568175,30772.0,0.01247460243589598,0.023931606525412707,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Display,DV360,Conversion,Multi,174.849877,157404.0,1.1108350296053466,324.0,0.0020583974994282227,0.5396601141975308,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,Brand,376.53037299999994,34143.0,11.028040096066542,11650.0,0.34121196145622823,0.03232020369098712,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,F 900 XR (0K21),59.185837,3586.0,16.504695203569437,792.0,0.22085889570552147,0.07472959217171717,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,NOT MAPPED,58.993083,5452.0,10.82044809244314,724.0,0.13279530447542187,0.08148215883977901,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS (0M21),52.980273,4024.0,13.166071819085486,538.0,0.13369781312127235,0.098476343866171,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,F 800 GS (0K51),37.555934,2859.0,13.136038474991256,382.0,0.1336131514515565,0.09831396335078534,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS (0K61),32.136434,2178.0,14.755020202020203,360.0,0.1652892561983471,0.08926787222222222,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,CE 02 (0C71),21.971239,1352.0,16.250916420118344,277.0,0.20488165680473372,0.0793185523465704,,NaN,0.0,,NaN,NaN,,,NaN
